"chrom","context","reads","av_meth"
"ptg000131l_RagTag","CHH",12337,4.88979187314172
"ptg000133l","CpG",160,64.3410852713178
"ptg000133l_RagTag","CHG",388,6.84357541899441
"ptg000133l_RagTag","CHH",817,9.60490463215259
"ptg000137l","CpG",296,75.4851851851852
"ptg000137l_RagTag","CHG",845,5.12143928035982
"ptg000137l_RagTag","CHH",1671,5.76142857142857
"ptg000139l","CpG",55,74.2285714285714
"ptg000139l_RagTag","CHG",111,13.9876543209877
"ptg000139l_RagTag","CHH",289,8.39086294416244
"ptg000143l","CpG",334,85.6808510638298
"ptg000143l_RagTag","CHG",614,6.89981096408318
"ptg000143l_RagTag","CHH",1220,6.38654618473896
"ptg000146l","CpG",44,55.5555555555556
"ptg000146l_RagTag","CHG",43,10.8108108108108
"ptg000146l_RagTag","CHH",229,6.95187165775401
"ptg000147l","CpG",69,52.2727272727273
"ptg000147l_RagTag","CHG",97,17.2571428571429
"ptg000147l_RagTag","CHH",325,10.8196721311475
"ptg000152l","CpG",1,0
"ptg000152l_RagTag","CHG",4,0
"ptg000152l_RagTag","CHH",25,0
"ptg000156l","CpG",9,22.2222222222222
"ptg000156l_RagTag","CHG",14,0
"ptg000156l_RagTag","CHH",64,0
"ptg000157l","CpG",184,50.9090909090909
"ptg000157l_RagTag","CHG",425,2.89473684210526
"ptg000157l_RagTag","CHH",1127,3.89676113360324
"ptg000158l","CpG",135,86.5211267605634
"ptg000158l_RagTag","CHG",94,35.6938775510204
"ptg000158l_RagTag","CHH",196,23.0505050505051
"ptg000161l","CpG",616,82.976653696498
"ptg000161l_RagTag","CHG",1572,8.08295350957156
"ptg000161l_RagTag","CHH",2072,5.99162178336326
"ptg000164l","CpG",110,72.4166666666667
"ptg000164l_RagTag","CHG",81,16.0545454545455
"ptg000164l_RagTag","CHH",380,6.77880184331797
"ptg000165l","CpG",654,80.4029574861368
"ptg000165l_RagTag","CHG",1576,5.5765391014975
"ptg000165l_RagTag","CHH",2427,7.09637939826619
"ptg000168l","CpG",3,0
"ptg000168l_RagTag","CHG",6,0
"ptg000168l_RagTag","CHH",16,0
"ptg000173l","CpG",30,93.3333333333333
"ptg000173l_RagTag","CHG",14,57.1428571428571
"ptg000173l_RagTag","CHH",33,15.1515151515152
"ptg000175l","CpG",409,73.0235294117647
"ptg000175l_RagTag","CHG",167,27.8974358974359
"ptg000175l_RagTag","CHH",324,16.6619718309859
"ptg000176l","CpG",1617,88.4590570719603
"ptg000176l_RagTag","CHG",3023,4.24529951902055
"ptg000176l_RagTag","CHH",5387,4.97304582210243
"ptg000179l","CpG",132,93.1818181818182
"ptg000179l_RagTag","CHG",77,22.0779220779221
"ptg000179l_RagTag","CHH",162,4.93827160493827
"ptg000180l","CpG",2,100
"ptg000180l_RagTag","CHG",99,0
"ptg000180l_RagTag","CHH",83,3.17460317460317
"ptg000181l_RagTag","CHG",47,3.84615384615385
"ptg000181l_RagTag","CHH",115,7.36842105263158
"ptg000184l","CpG",281,50.1538461538462
"ptg000184l_RagTag","CHG",534,4.71938775510204
"ptg000184l_RagTag","CHH",1536,5.27611940298507
"ptg000189l","CpG",41,71.0666666666667
"ptg000189l_RagTag","CHG",32,4.54545454545455
"ptg000189l_RagTag","CHH",96,6.41025641025641
"ptg000192l","CpG",27,85.7894736842105
"ptg000192l_RagTag","CHG",242,2.70652173913043
