"chrom","context","total_reads","mean_meth","median_meth","sd_meth"
"ptg000161l_RagTag","CHG",1572,8.08295350957156,0,23.402684262385
"ptg000164l_RagTag","CHG",81,16.0545454545455,0,34.5373754508113
"ptg000165l_RagTag","CHG",1576,5.5765391014975,0,21.3824742915749
"ptg000168l_RagTag","CHG",6,0,0,0
"ptg000173l_RagTag","CHG",14,57.1428571428571,100,51.3552591013095
"ptg000175l_RagTag","CHG",167,27.8974358974359,20,33.0874398747151
"ptg000176l_RagTag","CHG",3023,4.24529951902055,0,18.889620286813
"ptg000179l_RagTag","CHG",77,22.0779220779221,0,41.7491778153415
"ptg000180l_RagTag","CHG",99,0,0,0
"ptg000181l_RagTag","CHG",47,3.84615384615385,0,17.7134181395414
"ptg000184l_RagTag","CHG",534,4.71938775510204,0,17.5176930817184
